representation,folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,fp_mean,fp_std,fn_mean,fn_std
mechanism_only,50,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
transformer_only,50,0.6214285714285716,0.10530493592117499,0.6724249639249639,0.10146086063469849,0.675,0.13122266479195596,0.6707593641798943,0.11538681525830964,0.7503922050172052,0.10857809543234882,2.7,1.0738068841694934,2.6,1.049781318335648
transformer_plus_mechanism,50,0.7028571428571427,0.10929328848159904,0.7596962481962481,0.11264026566745,0.7175,0.13554971224534532,0.7214760445059427,0.11900623399460984,0.8377660187035189,0.10473591999247449,1.9,1.0350983390135313,2.26,1.0843976979627625
