report_id,sif_precursor_probability
industrial_safety_000422,0.9929380966648699
industrial_safety_000314,0.9911166788814939
industrial_safety_000384,0.9867825907616966
industrial_safety_000382,0.9863461091910515
industrial_safety_000426,0.8828214864661822
industrial_safety_000370,0.8714489612642562
industrial_safety_000389,0.8664508900505058
industrial_safety_000166,0.8641740868801234
industrial_safety_000403,0.8639438692414778
industrial_safety_000190,0.8211097984937358
industrial_safety_000140,0.7670891387019364
industrial_safety_000074,0.7449511607213508
industrial_safety_000420,0.6764513689808687
industrial_safety_000364,0.45568083640924395
industrial_safety_000115,0.34581737077836266
industrial_safety_000075,0.27251868892697645
industrial_safety_000289,0.0822024315526296
industrial_safety_000145,0.032012563487434365
industrial_safety_000361,0.015150549458536172
industrial_safety_000077,0.011380448489938567
