fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count
31,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.8350000000000001,3,1
31,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.9428571428571428,1,1
32,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.7116666666666667,2,1
32,Transformer Embeddings + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.7116666666666667,3,1
33,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.8083333333333333,2,1
33,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.8766666666666667,1,1
34,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.885,2,1
34,Transformer Embeddings + Logistic Regression,0.625,0.75,0.6,0.625,0.7226190476190476,1,2
35,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.9428571428571428,2,0
35,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.9028571428571428,1,1
36,TF-IDF + Logistic Regression,0.25,0.4,0.4,0.4,0.6192857142857142,3,3
36,Transformer Embeddings + Logistic Regression,0.5,0.6666666666666666,0.4,0.43478260869565216,0.7226190476190476,1,3
37,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.6683333333333333,3,1
37,Transformer Embeddings + Logistic Regression,0.875,0.8333333333333334,1.0,0.9615384615384616,1.0,1,0
38,TF-IDF + Logistic Regression,0.375,0.5,0.6,0.5769230769230769,0.7392857142857143,3,2
38,Transformer Embeddings + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.7683333333333333,3,1
39,TF-IDF + Logistic Regression,0.875,0.8333333333333334,1.0,0.9615384615384616,0.8766666666666667,1,0
39,Transformer Embeddings + Logistic Regression,0.875,0.8333333333333334,1.0,0.9615384615384616,0.9266666666666666,1,0
40,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.925,3,1
40,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.9666666666666667,1,1
41,TF-IDF + Logistic Regression,0.625,0.75,0.6,0.625,0.7683333333333333,1,2
41,Transformer Embeddings + Logistic Regression,0.75,1.0,0.6,0.6521739130434783,0.8761904761904762,0,2
42,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.7961904761904761,2,0
42,Transformer Embeddings + Logistic Regression,0.375,0.5,0.6,0.5769230769230769,0.6592857142857143,3,2
43,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.925,2,1
43,Transformer Embeddings + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.852857142857143,2,0
44,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,0.7595238095238095,3,0
44,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.81,1,1
45,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,1.0,3,0
45,Transformer Embeddings + Logistic Regression,0.875,0.8333333333333334,1.0,0.9615384615384616,1.0,1,0
46,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.9266666666666666,2,0
46,Transformer Embeddings + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.9428571428571428,2,0
47,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.8583333333333333,2,1
47,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.9428571428571428,1,1
48,TF-IDF + Logistic Regression,0.375,0.5,0.6,0.5769230769230769,0.6392857142857143,3,2
48,Transformer Embeddings + Logistic Regression,0.625,0.75,0.6,0.625,0.7595238095238095,1,2
49,TF-IDF + Logistic Regression,0.75,0.8,0.8,0.8,0.9666666666666667,1,1
49,Transformer Embeddings + Logistic Regression,0.875,1.0,0.8,0.8333333333333334,0.925,0,1
50,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,0.925,3,0
50,Transformer Embeddings + Logistic Regression,0.625,0.75,0.6,0.625,0.8766666666666667,1,2
