representation,validation_threshold,validation_metrics_at_selected_threshold,locked_test_metrics_at_selected_threshold,locked_test_metrics_at_0.50
transformer_only,0.2,"{'n': 20, 'accuracy': 0.65, 'precision': 0.6111111111111112, 'recall': 1.0, 'f2': 0.8870967741935484, 'pr_auc': 0.6882395382395383, 'tn': 2, 'fp': 7, 'fn': 0, 'tp': 11}","{'n': 20, 'accuracy': 0.65, 'precision': 0.6875, 'recall': 0.8461538461538461, 'f2': 0.8088235294117647, 'pr_auc': 0.7557293752131808, 'tn': 2, 'fp': 5, 'fn': 2, 'tp': 11}","{'n': 20, 'accuracy': 0.65, 'precision': 0.7142857142857143, 'recall': 0.7692307692307693, 'f2': 0.7575757575757576, 'pr_auc': 0.7557293752131808, 'tn': 3, 'fp': 4, 'fn': 3, 'tp': 10}"
mechanism_only,0.2,"{'n': 20, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f2': 1.0, 'pr_auc': 1.0, 'tn': 9, 'fp': 0, 'fn': 0, 'tp': 11}","{'n': 20, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f2': 1.0, 'pr_auc': 1.0, 'tn': 7, 'fp': 0, 'fn': 0, 'tp': 13}","{'n': 20, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f2': 1.0, 'pr_auc': 1.0, 'tn': 7, 'fp': 0, 'fn': 0, 'tp': 13}"
transformer_plus_mechanism,0.395,"{'n': 20, 'accuracy': 0.75, 'precision': 0.6875, 'recall': 1.0, 'f2': 0.9166666666666666, 'pr_auc': 0.7931178669815033, 'tn': 4, 'fp': 5, 'fn': 0, 'tp': 11}","{'n': 20, 'accuracy': 0.7, 'precision': 0.7692307692307693, 'recall': 0.7692307692307693, 'f2': 0.7692307692307693, 'pr_auc': 0.8424244056596997, 'tn': 4, 'fp': 3, 'fn': 3, 'tp': 10}","{'n': 20, 'accuracy': 0.7, 'precision': 0.7692307692307693, 'recall': 0.7692307692307693, 'f2': 0.7692307692307693, 'pr_auc': 0.8424244056596997, 'tn': 4, 'fp': 3, 'fn': 3, 'tp': 10}"
