representation,folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,fp_mean,fp_std,fn_mean,fn_std
mechanism_only,50,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
transformer_only,50,0.6214285714285714,0.10229560028450727,0.6740916305916307,0.09954749529102337,0.67,0.13063815112979915,0.6670173872864413,0.1144339341456101,0.750430611055611,0.10973263770979481,2.66,1.061573725894817,2.64,1.0451052090383932
transformer_plus_mechanism,50,0.6957142857142857,0.11066607621499458,0.7562597402597402,0.11387437491499156,0.705,0.1377664394427565,0.7105529591316379,0.12152237472194768,0.8382235472860473,0.10252571992825363,1.9,1.0350983390135313,2.36,1.102131515542052
