representation,C,folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,fp_mean,fp_std,fn_mean,fn_std
pathway_aware_structured,1.0,50,0.5971428571428572,0.1077581941424007,0.6925317460317459,0.1544403870372814,0.57,0.1620185174601965,0.582792299455631,0.14616480340919222,0.7840098235098235,0.0955620902016238,2.2,1.1952286093343938,3.44,1.2961481396815722
precursor_structured,0.5,50,0.6185714285714285,0.11865728038102807,0.7184761904761905,0.16296978482335428,0.5775,0.14701537473394838,0.59502668625677,0.1400129545957405,0.8072666430791432,0.1013755951581841,1.96,1.2115094312636678,3.38,1.176122997871587
transformer_plus_pathway,0.1,50,0.66,0.10948366188572782,0.7209603174603173,0.11345390616955173,0.6775,0.1676860830509783,0.6792274277222929,0.14646552070890648,0.8260170246420248,0.08346921695343112,2.18,1.0437373975775903,2.58,1.3414886644078263
