fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count,confusion_matrix
14,Hybrid TF-IDF + Transformer,0.7142857142857143,0.6666666666666666,1.0,0.9090909090909091,0.6135281385281385,4,0,"[[2, 4], [0, 8]]"
15,TF-IDF + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9427083333333333,2,1,"[[4, 2], [1, 7]]"
15,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.8976076007326008,4,1,"[[2, 4], [1, 7]]"
15,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9362980769230769,3,1,"[[3, 3], [1, 7]]"
16,TF-IDF + Logistic Regression,0.7857142857142857,0.7272727272727273,1.0,0.9302325581395349,0.928409090909091,3,0,"[[3, 3], [0, 8]]"
16,Transformer Embeddings + Logistic Regression,0.5714285714285714,0.625,0.625,0.625,0.7842147435897435,3,3,"[[3, 3], [3, 5]]"
16,Hybrid TF-IDF + Transformer,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7762601981351981,3,2,"[[3, 3], [2, 6]]"
17,TF-IDF + Logistic Regression,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7887896825396825,4,3,"[[2, 4], [3, 5]]"
17,Transformer Embeddings + Logistic Regression,0.6428571428571429,1.0,0.375,0.42857142857142855,0.84375,0,5,"[[6, 0], [5, 3]]"
17,Hybrid TF-IDF + Transformer,0.5714285714285714,0.75,0.375,0.4166666666666667,0.84375,1,5,"[[5, 1], [5, 3]]"
18,TF-IDF + Logistic Regression,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8051948051948052,2,4,"[[4, 2], [4, 4]]"
18,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8928952991452992,3,1,"[[3, 3], [1, 7]]"
18,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9381313131313131,2,1,"[[4, 2], [1, 7]]"
19,TF-IDF + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9062881562881563,3,1,"[[3, 3], [1, 7]]"
19,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8553436147186148,3,1,"[[3, 3], [1, 7]]"
19,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9502840909090909,3,1,"[[3, 3], [1, 7]]"
20,TF-IDF + Logistic Regression,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8238906926406927,2,3,"[[4, 2], [3, 5]]"
20,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7982503607503608,2,3,"[[4, 2], [3, 5]]"
20,Hybrid TF-IDF + Transformer,0.7142857142857143,0.75,0.75,0.75,0.8385912698412699,2,2,"[[4, 2], [2, 6]]"
21,TF-IDF + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9186507936507937,2,1,"[[4, 2], [1, 7]]"
21,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7419507575757576,3,1,"[[3, 3], [1, 7]]"
21,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8385912698412699,3,1,"[[3, 3], [1, 7]]"
22,TF-IDF + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.776271645021645,3,2,"[[3, 3], [2, 6]]"
22,Transformer Embeddings + Logistic Regression,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7213675213675214,2,4,"[[4, 2], [4, 4]]"
22,Hybrid TF-IDF + Transformer,0.5714285714285714,0.625,0.625,0.625,0.7696314102564102,3,3,"[[3, 3], [3, 5]]"
23,TF-IDF + Logistic Regression,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8141254578754579,4,2,"[[2, 4], [2, 6]]"
23,Transformer Embeddings + Logistic Regression,0.8571428571428571,1.0,0.75,0.7894736842105263,0.975,0,2,"[[6, 0], [2, 6]]"
23,Hybrid TF-IDF + Transformer,0.8571428571428571,1.0,0.75,0.7894736842105263,0.9861111111111112,0,2,"[[6, 0], [2, 6]]"
24,TF-IDF + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7947781385281385,3,1,"[[3, 3], [1, 7]]"
24,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9085317460317461,1,3,"[[5, 1], [3, 5]]"
24,Hybrid TF-IDF + Transformer,0.7142857142857143,0.75,0.75,0.75,0.9159722222222222,2,2,"[[4, 2], [2, 6]]"
25,TF-IDF + Logistic Regression,0.8571428571428571,0.875,0.875,0.875,0.9248511904761905,1,1,"[[5, 1], [1, 7]]"
25,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8065476190476191,3,1,"[[3, 3], [1, 7]]"
25,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.856845238095238,3,1,"[[3, 3], [1, 7]]"
26,TF-IDF + Logistic Regression,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8553436147186148,1,2,"[[5, 1], [2, 6]]"
26,Transformer Embeddings + Logistic Regression,0.5714285714285714,0.6,0.75,0.7142857142857143,0.755048076923077,4,2,"[[2, 4], [2, 6]]"
26,Hybrid TF-IDF + Transformer,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8189685314685314,4,2,"[[2, 4], [2, 6]]"
27,TF-IDF + Logistic Regression,0.7142857142857143,0.75,0.75,0.75,0.8886113886113887,2,2,"[[4, 2], [2, 6]]"
27,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9105519480519481,1,3,"[[5, 1], [3, 5]]"
27,Hybrid TF-IDF + Transformer,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8867424242424242,1,3,"[[5, 1], [3, 5]]"
28,TF-IDF + Logistic Regression,0.5,0.5384615384615384,0.875,0.7777777777777778,0.7192775974025973,6,1,"[[0, 6], [1, 7]]"
28,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.6412202380952381,3,1,"[[3, 3], [1, 7]]"
28,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.6293154761904762,3,1,"[[3, 3], [1, 7]]"
29,TF-IDF + Logistic Regression,0.7142857142857143,0.75,0.75,0.75,0.9472222222222222,2,2,"[[4, 2], [2, 6]]"
29,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8865936147186148,1,3,"[[5, 1], [3, 5]]"
29,Hybrid TF-IDF + Transformer,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8865936147186148,1,2,"[[5, 1], [2, 6]]"
30,TF-IDF + Logistic Regression,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8189685314685314,4,2,"[[2, 4], [2, 6]]"
30,Transformer Embeddings + Logistic Regression,0.8571428571428571,1.0,0.75,0.7894736842105263,0.9519230769230769,0,2,"[[6, 0], [2, 6]]"
30,Hybrid TF-IDF + Transformer,0.9285714285714286,1.0,0.875,0.8974358974358975,0.9519230769230769,0,1,"[[6, 0], [1, 7]]"
