representation,folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,fp_mean,fp_std,fn_mean,fn_std
precursor_structured_only,50,0.5957142857142858,0.11865728038102807,0.6880897990897991,0.152105239517605,0.5725,0.16383867749984424,0.58483203037387,0.14661451619632226,0.7702656163281162,0.10751828689156412,2.24,1.3180071536766624,3.42,1.310709419998754
transformer_only,50,0.6185714285714287,0.09957217939157507,0.6796796536796537,0.10607085363037574,0.665,0.15452362609131381,0.6606780540765673,0.12839300268380535,0.755586926961927,0.0831405332619623,2.66,1.188550823997228,2.68,1.2361890087305107
transformer_plus_precursor,50,0.6342857142857143,0.10764217954482118,0.6932012987012987,0.10517241136676178,0.655,0.1741597905748087,0.6559114636428276,0.15188929367687654,0.8010628538128537,0.08273063546841695,2.36,0.9847821679779477,2.76,1.3932783245984697
